iter	RMSE
0	12.69121039
1	12.2547793
2	11.84377722
3	11.42832989
4	11.03697198
5	10.66348389
6	10.2862242
7	9.928027219
8	9.594888655
9	9.291447002
10	8.996136163
11	8.684469365
12	8.397545241
13	8.1082793
14	7.905000114
15	7.644598059
16	7.402564702
17	7.164468963
18	6.963480265
19	6.767810101
20	6.576374755
21	6.423256199
22	6.24334603
23	6.066127923
24	5.877438738
25	5.687602713
26	5.503168907
27	5.35935515
28	5.195467929
29	5.066892128
30	4.910341207
31	4.781577068
32	4.6387698
33	4.498873048
34	4.402654186
35	4.273245738
36	4.190130324
37	4.094817812
38	3.989876293
39	3.91083053
40	3.799622231
41	3.695146047
42	3.592854223
43	3.496740132
44	3.408311402
45	3.325138167
46	3.245994651
47	3.163870743
48	3.08888741
49	3.023315127
50	2.958234672
51	2.903931924
52	2.83053023
53	2.778422221
54	2.726332154
55	2.672995024
56	2.610696376
57	2.548432783
58	2.49646207
59	2.453308507
60	2.401468328
61	2.356997171
62	2.324300165
63	2.279768963
64	2.233760048
65	2.194829515
66	2.156424389
67	2.112593531
68	2.074730249
69	2.044191871
70	2.006083075
71	1.979255706
72	1.950210894
73	1.912212578
74	1.882698484
75	1.850995705
76	1.827310796
77	1.796577078
78	1.762796006
79	1.735407878
80	1.704810398
81	1.677185088
82	1.648914354
83	1.618722251
84	1.591281896
85	1.573170145
86	1.552044931
87	1.527127385
88	1.497546331
89	1.477863769
90	1.453017874
91	1.432611717
92	1.408716428
93	1.385266716
94	1.36816924
95	1.349697352
96	1.330398098
97	1.308742462
98	1.294846095
99	1.278161033
100	1.257445691
101	1.238650172
102	1.223757937
103	1.208624236
104	1.190185621
105	1.174645157
106	1.156398523
107	1.145923568
108	1.130222925
109	1.112569075
110	1.10307626
111	1.091626441
112	1.077919946
113	1.064842615
114	1.048880942
115	1.033470946
116	1.025447939
117	1.012038646
118	1.006373975
119	0.9947209555
120	0.9870324211
121	0.9791732483
122	0.974052335
123	0.9613523436
124	0.9527528944
125	0.9460205834
126	0.9416824094
127	0.9292035109
128	0.9250506344
129	0.9175603264
130	0.9091505649
131	0.902925752
132	0.8912537281
133	0.8873065297
134	0.8824593045
135	0.8728404879
136	0.8689690005
137	0.8655822124
138	0.8622933074
139	0.8586153032
140	0.8548098932
141	0.8458828743
142	0.8422270501
143	0.8294817808
144	0.8261899953
145	0.8173037995
146	0.8097180251
147	0.8066311671
148	0.8039086899
149	0.8010159098
150	0.7977055881
151	0.7951749462
152	0.7926218847
153	0.790053771
154	0.7869850908
155	0.7791248833
156	0.7706212591
157	0.7626366258
158	0.7601622699
159	0.754005573
160	0.7516328434
161	0.7494098391
162	0.7472370806
163	0.7451118967
164	0.7393395295
165	0.7368613763
166	0.734865099
167	0.7329129766
168	0.7260432069
169	0.7241643106
170	0.7223276818
171	0.7205325581
172	0.7187778366
173	0.7142550847
174	0.7125699088
175	0.7109229465
176	0.7093133878
177	0.7077404444
178	0.7016067213
179	0.700099287
180	0.6927115333
181	0.6908920924
182	0.6870716726
183	0.6856728454
184	0.6843070694
185	0.6807552002
186	0.6774060331
187	0.6761205165
188	0.6745466258
189	0.6669925759
190	0.6656490757
191	0.6612401837
192	0.6599529373
193	0.6558086433
194	0.6545751882
195	0.6474940666
196	0.6463040901
197	0.6424441894
198	0.6357658985
199	0.6346370363
200	0.6335370196
201	0.6299415855
202	0.6236543203
203	0.6226108556
204	0.6192423293
205	0.618242057
206	0.617267281
207	0.6163173482
208	0.6109844527
209	0.6061234785
210	0.6017765462
211	0.5960588039
212	0.5951718344
213	0.592417555
214	0.5893727876
215	0.5845745942
216	0.5816969409
217	0.5725420432
218	0.562876766
219	0.5610637873
220	0.5567153268
221	0.5555815251
222	0.5543942148
223	0.5533360014
224	0.5526384252
225	0.5515364553
226	0.5475310953
227	0.5468739885
228	0.5415453259
229	0.5365758545
230	0.5328852323
231	0.5322693053
232	0.5316688611
233	0.5310835034
234	0.5261324426
235	0.5200017582
236	0.519448382
237	0.518908864
238	0.5147259998
239	0.5102890515
240	0.5044379869
241	0.5039304555
242	0.5034356406
243	0.499322171
244	0.4967150616
245	0.4921639506
246	0.4848835941
247	0.4779750882
248	0.4739323818
249	0.4709342148
250	0.4705033191
251	0.469700654
252	0.4673555758
253	0.466656011
254	0.4662554162
255	0.4625183536
256	0.4588971422
257	0.4554649368
258	0.4532132373
259	0.4481308598
260	0.4449662847
261	0.442406828
262	0.4399664411
263	0.4390535488
264	0.4330112532
265	0.4291908607
266	0.4245616895
267	0.4201966117
268	0.4143264414
269	0.4108374351
270	0.4088763105
271	0.4046994474
272	0.4024832266
273	0.400741742
274	0.3967163777
275	0.3947317128
276	0.3922683831
277	0.3885105469
278	0.386420445
279	0.3835961575
280	0.3815449457
281	0.3789283226
282	0.376793201
283	0.3738857985
284	0.3709870148
285	0.3688293219
286	0.3661057341
287	0.3628415346
288	0.3597698542
289	0.3567277668
290	0.3549751
291	0.3517463324
292	0.3469041881
293	0.3445731454
294	0.3426973009
295	0.3391382656
296	0.3355176485
297	0.3338113568
298	0.3305737759
299	0.3280624553
