iter	Passed	Remaining
0	0	207
1	1	170
2	2	236
3	2	220
4	3	203
5	3	192
6	4	184
7	4	174
8	5	169
9	5	159
10	5	156
11	6	153
12	6	150
13	7	147
14	7	144
15	8	142
16	8	140
17	8	138
18	9	137
19	9	136
20	10	134
21	10	134
22	11	134
23	11	134
24	12	133
25	12	132
26	13	132
27	13	131
28	13	130
29	14	127
30	14	126
31	15	126
32	15	125
33	15	123
34	16	122
35	16	121
36	16	120
37	17	119
38	17	118
39	18	117
40	18	117
41	18	116
42	19	115
43	19	115
44	20	114
45	20	113
46	20	112
47	21	112
48	21	111
49	22	110
50	22	109
51	22	109
52	23	108
53	23	107
54	24	107
55	24	106
56	24	105
57	25	104
58	25	104
59	25	103
60	26	102
61	26	102
62	27	101
63	27	101
64	27	100
65	28	99
66	28	99
67	28	98
68	29	98
69	29	97
70	30	97
71	30	96
72	30	96
73	31	96
74	32	96
75	32	96
76	33	96
77	33	96
78	34	95
79	34	95
80	35	94
81	35	94
82	36	94
83	36	93
84	36	93
85	37	92
86	37	92
87	38	92
88	38	91
89	38	90
90	39	90
91	39	89
92	40	89
93	40	88
94	41	88
95	41	87
96	41	87
97	42	87
98	42	86
99	43	86
100	43	85
101	43	84
102	44	84
103	44	83
104	44	83
105	45	82
106	45	82
107	45	81
108	46	81
109	46	80
110	46	79
111	47	79
112	47	78
113	48	78
114	48	77
115	48	77
116	49	76
117	49	76
118	50	76
119	50	76
120	51	75
121	51	75
122	52	75
123	52	74
124	53	74
125	53	73
126	54	73
127	54	73
128	55	72
129	55	72
130	56	72
131	56	71
132	57	71
133	57	71
134	58	70
135	58	70
136	58	70
137	59	69
138	59	69
139	60	68
140	60	68
141	61	68
142	61	67
143	62	67
144	62	66
145	63	66
146	63	66
147	63	65
148	64	65
149	64	64
150	65	64
151	65	64
152	66	63
153	66	63
154	66	62
155	67	62
156	67	61
157	68	61
158	68	60
159	69	60
160	69	59
161	69	59
162	70	58
163	70	58
164	70	58
165	71	57
166	71	57
167	71	56
168	72	56
169	72	55
170	72	55
171	73	54
172	73	54
173	73	53
174	74	53
175	74	52
176	75	52
177	75	51
178	75	51
179	76	50
180	76	50
181	77	50
182	77	49
183	78	49
184	78	48
185	79	48
186	80	48
187	80	48
188	81	47
189	81	47
190	82	46
191	82	46
192	83	46
193	83	45
194	84	45
195	84	44
196	85	44
197	85	44
198	86	43
199	86	43
200	87	42
201	87	42
202	87	42
203	88	41
204	88	41
205	89	40
206	89	40
207	90	39
208	90	39
209	90	38
210	91	38
211	91	38
212	91	37
213	92	37
214	92	36
215	92	36
216	93	35
217	93	35
218	94	34
219	94	34
220	94	33
221	95	33
222	95	32
223	95	32
224	96	32
225	96	31
226	96	31
227	97	30
228	97	30
229	97	29
230	98	29
231	98	28
232	98	28
233	99	28
234	99	27
235	99	27
236	100	26
237	100	26
238	101	25
239	101	25
240	102	24
241	102	24
242	102	24
243	103	23
244	103	23
245	104	22
246	104	22
247	105	22
248	105	21
249	106	21
250	106	20
251	106	20
252	107	19
253	107	19
254	108	19
255	108	18
256	108	18
257	109	17
258	109	17
259	110	16
260	110	16
261	111	16
262	111	15
263	111	15
264	112	14
265	112	14
266	113	14
267	113	13
268	114	13
269	114	12
270	114	12
271	115	11
272	115	11
273	116	11
274	116	10
275	116	10
276	117	9
277	117	9
278	117	8
279	118	8
280	118	8
281	119	7
282	119	7
283	119	6
284	120	6
285	120	5
286	121	5
287	121	5
288	122	4
289	122	4
290	123	3
291	123	3
292	124	2
293	124	2
294	124	2
295	125	1
296	125	1
297	126	0
298	126	0
299	126	0
